[19Dec2024 00:02:30.752] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 12], pos: MutableBlockPos{x=-280, y=145, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:32.216] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=134, z=169}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.217] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=133, z=169}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.217] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=135, z=169}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.217] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=134, z=169}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.217] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=133, z=169}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.217] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=135, z=170}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.217] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=134, z=170}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.217] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=133, z=170}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.218] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=135, z=170}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.218] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=134, z=170}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.218] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=133, z=170}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.218] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=135, z=171}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.218] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=134, z=171}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.218] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=133, z=171}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.218] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=135, z=171}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.218] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=134, z=171}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.219] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=133, z=171}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.219] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-238, y=135, z=171}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.219] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-238, y=134, z=171}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.219] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-238, y=133, z=171}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.219] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=135, z=172}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.219] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=134, z=172}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.219] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=133, z=172}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.220] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=135, z=172}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.220] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=134, z=172}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.220] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=133, z=172}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.220] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=135, z=173}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.220] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=134, z=173}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.220] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=133, z=173}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.220] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=135, z=173}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.221] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=134, z=173}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.221] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-239, y=133, z=173}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.221] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=135, z=174}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.221] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=134, z=174}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.221] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-15, 10], pos: MutableBlockPos{x=-240, y=133, z=174}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.221] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-17, 11], pos: MutableBlockPos{x=-260, y=115, z=177}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.221] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-16, 11], pos: MutableBlockPos{x=-250, y=117, z=176}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.525] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 13], pos: MutableBlockPos{x=-288, y=152, z=210}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:32.525] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 13], pos: MutableBlockPos{x=-287, y=153, z=208}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:32.547] [Worker-Main-2/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 13], pos: MutableBlockPos{x=-287, y=137, z=219}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.618] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-20, 12], pos: MutableBlockPos{x=-309, y=91, z=192}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:32.691] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-20, 11], pos: MutableBlockPos{x=-305, y=116, z=176}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/fire]
[19Dec2024 00:02:32.710] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Zoti5 has made the advancement [We Need to Go Deeper]
[19Dec2024 00:02:32.710] [Server thread/INFO] [net.minecraft.server.MinecraftServer/]: Zoti5 has made the advancement [Incendium]
[19Dec2024 00:02:33.862] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-304, y=92, z=172}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/fire]
[19Dec2024 00:02:34.413] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 11], pos: MutableBlockPos{x=-304, y=129, z=183}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:34.413] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 11], pos: MutableBlockPos{x=-304, y=128, z=183}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:34.413] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 11], pos: MutableBlockPos{x=-304, y=127, z=183}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:34.414] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 11], pos: MutableBlockPos{x=-303, y=129, z=183}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/netherrack_lakes]
[19Dec2024 00:02:34.415] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 11], pos: MutableBlockPos{x=-303, y=84, z=185}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/fire]
[19Dec2024 00:02:34.625] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-16, 14], pos: MutableBlockPos{x=-252, y=131, z=231}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:34.625] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-16, 14], pos: MutableBlockPos{x=-256, y=129, z=228}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:34.625] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-16, 14], pos: MutableBlockPos{x=-252, y=129, z=229}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:34.625] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-16, 14], pos: MutableBlockPos{x=-256, y=129, z=229}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:34.625] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-16, 14], pos: MutableBlockPos{x=-255, y=129, z=234}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:34.911] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-16, 10], pos: MutableBlockPos{x=-244, y=87, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:34.912] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-16, 10], pos: MutableBlockPos{x=-243, y=88, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:34.912] [Worker-Main-12/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-16, 10], pos: MutableBlockPos{x=-249, y=88, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.142] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-295, y=21, z=160}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.143] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-290, y=23, z=160}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.143] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-290, y=22, z=160}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.143] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-289, y=23, z=160}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.143] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-289, y=22, z=160}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.143] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 10], pos: MutableBlockPos{x=-288, y=23, z=160}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.143] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 10], pos: MutableBlockPos{x=-288, y=22, z=160}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.143] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 10], pos: MutableBlockPos{x=-287, y=23, z=160}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.143] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 10], pos: MutableBlockPos{x=-286, y=21, z=160}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.143] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-290, y=23, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.144] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-290, y=22, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.144] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-290, y=21, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.144] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-289, y=23, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.144] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-289, y=22, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.144] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-19, 10], pos: MutableBlockPos{x=-289, y=21, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.144] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 10], pos: MutableBlockPos{x=-288, y=23, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.144] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 10], pos: MutableBlockPos{x=-288, y=22, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.144] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 10], pos: MutableBlockPos{x=-288, y=21, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
[19Dec2024 00:02:35.144] [Worker-Main-3/ERROR] [net.minecraft.Util/]: Detected setBlock in a far chunk [-18, 10], pos: MutableBlockPos{x=-287, y=23, z=161}, status: minecraft:features, currently generating: ResourceKey[minecraft:worldgen/placed_feature / hearths:minecraft/nether_wastes/blackstone_lakes]
